Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.216,131.216,screen dark,47.73638080000001
0,131.216,131.216,wifi running,4.492835840000001
56.004,68.657,12.652999999999999,audio,2.00372908

