Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.676,70.676,screen dark,10.7373240832
0,4.155,4.155,wifi scan,0.78905112
4.155,70.676,66.521,wifi running,0.14355231799999998
10.492,70.676,60.184,audio,10.390165759999999
10.492,13.758,3.2659999999999982,audio,0.5638422399999996
21.28,70.676,49.396,audio,8.52772544
21.28,24.138,2.8580000000000005,audio,0.4934051200000001
26.376,70.676,44.3,audio,7.647951999999999
26.376,28.878,2.501999999999999,audio,0.43194527999999976
29.296,70.676,41.38,audio,7.1438432
29.296,39.797,10.500999999999998,audio,1.8128926399999994
40.847,70.676,29.829,audio,5.14967856
40.847,44.317,3.469999999999999,audio,0.5990607999999997
51.613,70.676,19.063000000000002,audio,3.2910363200000003
51.613,55.332,3.719000000000001,audio,0.6420481600000002
57.15,70.676,13.526000000000003,audio,2.33512864
57.15,65.493,8.342999999999996,audio,1.4403355199999992
67.193,70.676,3.483000000000004,audio,0.6013051200000007
67.193,70.233,3.0400000000000063,audio,0.524825600000001

