Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.693,70.693,screen dark,10.7399067776
0,3.995,3.995,wifi scan,0.75866648
3.995,70.693,66.698,wifi running,0.14393428399999997
10.234,70.693,60.458999999999996,audio,10.437641759999998
10.234,12.652,2.4179999999999993,audio,0.41744351999999985
20.57,70.693,50.123,audio,8.653234719999999
20.57,23.603,3.0330000000000013,audio,0.5236171200000002
25.73,70.693,44.962999999999994,audio,7.762412319999998
25.73,28.323,2.593,audio,0.44765552
28.826,70.693,41.867,audio,7.227918879999999
28.826,39.203,10.377000000000002,audio,1.7914852800000003
40.632,70.693,30.061,audio,5.18973104
40.632,43.723,3.091000000000001,audio,0.5336302400000001
50.659,70.693,20.034,audio,3.4586697599999994
50.659,54.726,4.067,audio,0.70212688
56.524,70.693,14.168999999999997,audio,2.446136159999999
56.524,64.765,8.241,audio,1.4227262399999998
66.885,70.693,3.8079999999999927,audio,0.6574131199999987
66.885,69.486,2.600999999999999,audio,0.4490366399999998
69.744,70.693,0.9489999999999981,audio,0.16383535999999965

