Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.098,70.098,screen dark,10.6495124736
0,4.325,4.325,wifi scan,0.8213348
4.325,70.098,65.773,wifi running,0.14193813399999997
4.489,70.098,65.609,audio,11.326737759999999
4.489,7.95,3.4610000000000003,audio,0.59750704
10.158,70.098,59.94,audio,10.348041599999998
10.158,13.65,3.492000000000001,audio,0.6028588800000001
15.828,70.098,54.269999999999996,audio,9.3691728
15.828,19.11,3.282,audio,0.56660448
21.209,70.098,48.888999999999996,audio,8.440196959999998
21.209,23.89,2.681000000000001,audio,0.4628478400000001
26.128,70.098,43.97,audio,7.5909808
26.128,28.569,2.440999999999999,audio,0.4214142399999998
29.114,70.098,40.983999999999995,audio,7.075477759999998
29.114,39.49,10.376000000000001,audio,1.7913126400000001
41.315,70.098,28.783,audio,4.96909712
41.315,44.09,2.7750000000000057,audio,0.47907600000000095
51.276,70.098,18.821999999999996,audio,3.249430079999999
51.276,55.078,3.8019999999999996,audio,0.6563772799999998
56.877,70.098,13.220999999999997,audio,2.282473439999999
56.877,65.179,8.302,audio,1.4332572799999999
67.257,70.098,2.840999999999994,audio,0.49047023999999895
67.257,69.879,2.622,audio,0.45266207999999997

