Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.055,70.055,screen dark,10.642979776000002
0,4.165,4.165,wifi scan,0.79095016
4.165,70.055,65.89,wifi running,0.14219062
4.352,70.055,65.703,audio,11.34296592
4.352,7.806,3.4539999999999997,audio,0.5962985599999999
10.164,70.055,59.891000000000005,audio,10.33958224
10.164,12.666,2.5020000000000007,audio,0.4319452800000001
15.807,70.055,54.248000000000005,audio,9.36537472
15.807,19.045,3.2380000000000013,audio,0.5590083200000002
21.314,70.055,48.74100000000001,audio,8.41464624
21.314,23.865,2.5509999999999984,audio,0.4404046399999997
25.884,70.055,44.17100000000001,audio,7.62568144
25.884,28.545,2.6610000000000014,audio,0.4593950400000002
29.405,70.055,40.650000000000006,audio,7.017816000000001
29.405,39.445,10.04,audio,1.7333055999999998
41.644,70.055,28.41100000000001,audio,4.904875040000001
41.644,43.945,2.301000000000002,audio,0.3972446400000003
51.23,70.055,18.82500000000001,audio,3.2499480000000016
51.23,54.468,3.2380000000000067,audio,0.5590083200000011
56.836,70.055,13.219000000000008,audio,2.2821281600000014
56.836,64.495,7.659000000000006,audio,1.322249760000001
67.141,70.055,2.9140000000000015,audio,0.5030729600000002
67.141,69.79599999999999,2.654999999999987,audio,0.4583591999999977

