Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.795,70.795,screen dark,10.755402944
0,3.95,3.95,wifi scan,0.7501208
3.95,70.795,66.845,wifi running,0.14425150999999997
4.961,70.795,65.834,audio,11.36558176
4.961,7.703,2.742,audio,0.47337887999999995
9.852,70.795,60.943,audio,10.52119952
9.852,12.721,2.8689999999999998,audio,0.49530415999999994
15.600999999999999,70.795,55.194,audio,9.52869216
15.600999999999999,18.903,3.3019999999999996,audio,0.5700572799999999
20.677,70.795,50.118,audio,8.652371519999999
20.677,23.723,3.0459999999999994,audio,0.5258614399999999
25.801,70.795,44.994,audio,7.76776416
25.801,28.443,2.642000000000003,audio,0.4561148800000005
28.701999999999998,70.795,42.093,audio,7.2669355200000005
28.701999999999998,39.363,10.661000000000001,audio,1.84051504
40.739,70.795,30.056000000000004,audio,5.18886784
40.739,43.843,3.1040000000000063,audio,0.535874560000001
50.76,70.795,20.035000000000004,audio,3.4588424000000004
50.76,54.846,4.0859999999999985,audio,0.7054070399999997
56.584,70.795,14.210999999999999,audio,2.4533870399999995
56.584,64.944,8.36,audio,1.4432703999999998
67.066,70.795,3.728999999999999,audio,0.6437745599999998
67.066,69.666,2.5999999999999943,audio,0.448863999999999
70.223,70.795,0.5720000000000027,audio,0.09875008000000046

