Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.066,70.066,screen dark,10.644650931200001
0,3.676,3.676,wifi scan,0.698087104
3.676,70.066,66.39,wifi running,0.14326962
3.676,70.066,66.39,audio,11.461569599999999
3.676,7.88,4.204,audio,0.7257785599999999
10.089,70.066,59.977000000000004,audio,10.35442928
10.089,12.69,2.600999999999999,audio,0.4490366399999998
15.898,70.066,54.168000000000006,audio,9.351563520000001
15.898,19.1,3.2020000000000017,audio,0.5527932800000003
21.222,70.066,48.844,audio,8.432428159999999
21.222,23.88,2.6579999999999977,audio,0.4588771199999996
25.926,70.066,44.14,audio,7.6203296
25.926,28.58,2.654,audio,0.45818655999999996
29.058,70.066,41.008,audio,7.07962112
29.058,35.225,6.167000000000002,audio,1.0646708800000002
35.707,70.066,34.359,audio,5.93173776
35.707,39.54,3.8329999999999984,audio,0.6617291199999997
41.322,70.066,28.744,audio,4.96236416
41.322,44.06,2.7379999999999995,audio,0.4726883199999999
51.283,70.066,18.783,audio,3.24269712
51.283,55.026,3.743000000000002,audio,0.6461915200000004
56.853,70.066,13.213000000000001,audio,2.28109232
56.853,65.046,8.193000000000005,audio,1.4144395200000008
67.072,70.066,2.9939999999999998,audio,0.5168841599999999
67.072,69.807,2.7349999999999994,audio,0.4721703999999999

