Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.107,70.107,screen dark,10.6508797824
0,4.036,4.036,wifi scan,0.7664525439999998
4.036,70.107,66.071,wifi running,0.14258121799999998
4.036,70.107,66.071,audio,11.406497439999999
4.036,8.076,4.040000000000001,audio,0.6974656000000001
10.517,70.107,59.59,audio,10.287617599999999
10.517,12.895,2.378,audio,0.41053792
15.831,70.107,54.275999999999996,audio,9.37020864
15.831,19.292,3.461000000000002,audio,0.5975070400000003
21.381,70.107,48.726,audio,8.41205664
21.381,24.033,2.652000000000001,audio,0.45784128000000013
26.08,70.107,44.027,audio,7.60082128
26.08,28.672,2.5920000000000023,audio,0.44748288000000036
29.291,70.107,40.816,audio,7.04647424
29.291,39.532,10.240999999999996,audio,1.7680062399999992
41.436,70.107,28.671,audio,4.94976144
41.436,44.072,2.636000000000003,audio,0.45507904000000043
51.354,70.107,18.753,audio,3.2375179199999997
51.354,55.019,3.664999999999999,audio,0.6327255999999998
56.799,70.107,13.308,audio,2.29749312
56.799,65.199,8.399999999999999,audio,1.4501759999999997
67.278,70.107,2.8289999999999935,audio,0.48839855999999887
67.278,69.919,2.640999999999991,audio,0.45594223999999844

