Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.296,131.296,screen dark,19.8868274176
0,4.081,4.081,wifi running,0.008780271500000002
4.081,8.999,4.918,wifi scan,0.9311347759999999
8.999,91.23,82.23100000000001,wifi radio,104.38279793500001
91.23,91.492,0.26200000000000045,wifi running,0.0005636930000000011
91.492,131.296,39.80399999999999,wifi radio,50.52660053999998
5.9190000000000005,131.296,125.377,audio,21.57988924
5.9190000000000005,16.441,10.521999999999998,audio,1.8110466399999996
5.9190000000000005,131.296,125.377,video,70.13464003
5.9190000000000005,16.441,10.521999999999998,video,5.88590158

