Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.329,131.329,screen dark,19.956544713600003
0,4.656,4.656,wifi running,0.010049976
4.656,9.526,4.87,wifi scan,0.9250467600000001
9.526,131.329,121.80300000000001,wifi running,0.26291177550000006
6.594,131.329,124.73500000000001,audio,21.5392398
6.594,16.769,10.174999999999997,audio,1.7570189999999994
6.594,131.329,124.73500000000001,video,70.00252935
6.594,16.769,10.174999999999997,video,5.710311749999998

