Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.283,131.283,screen dark,19.9495546272
0,3.991,3.991,wifi running,0.008614573500000002
3.991,8.137,4.146000000000001,wifi scan,0.7875244080000001
8.137,131.283,123.14599999999999,wifi running,0.265810641
5.691,131.283,125.59199999999998,audio,21.687226559999996
5.691,16.497,10.806000000000001,audio,1.8659800800000002
5.691,131.283,125.59199999999998,video,70.48348631999998
5.691,16.497,10.806000000000001,video,6.064435260000001

