Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.352,131.352,screen dark,19.895309491200003
0,4.099,4.099,wifi running,0.008818998500000001
4.099,8.955,4.856,wifi scan,0.9193961919999999
8.955,131.352,122.397,wifi running,0.26333714550000004
6.082,131.352,125.27000000000001,audio,21.5614724
6.082,16.473,10.390999999999998,audio,1.7884989199999997
6.082,131.352,125.27000000000001,video,70.07478530000002
6.082,16.473,10.390999999999998,video,5.81262149

