Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.363,131.363,screen dark,19.896975612800002
0,4.053,4.053,wifi running,0.0087200295
4.053,8.558,4.505,wifi scan,0.8529406599999999
8.558,93.46600000000001,84.90800000000002,wifi radio,107.78094158000002
93.46600000000001,104.72800000000001,11.262,wifi running,0.024230193000000004
104.72800000000001,131.363,26.63499999999999,wifi radio,33.810069474999985
6.163,131.363,125.2,audio,21.549424
6.163,16.517,10.354,audio,1.7821304799999997
6.163,131.363,125.2,video,70.035628
6.163,16.517,10.354,video,5.79192406

