Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.381,70.381,screen dark,10.6925067392
0,70.381,70.381,wifi running,0.151882198
25.42,70.381,44.961,audio,7.762067039999999
25.42,30.301,4.880999999999997,audio,0.8426558399999994
35.648,70.381,34.733,audio,5.996305119999999
35.648,46.707,11.058999999999997,audio,1.9092257599999993
51.453,70.381,18.927999999999997,audio,3.2677299199999994
51.453,51.891,0.4379999999999953,audio,0.07561631999999918
58.092,70.381,12.289000000000001,audio,2.12157296
58.092,62.993,4.901000000000003,audio,0.8461086400000005
67.772,70.381,2.6089999999999947,audio,0.45041775999999906

