Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,71.027,71.027,screen dark,10.7906491264
0,71.027,71.027,wifi running,0.153276266
19.204,71.027,51.823,audio,8.946722719999999
19.204,19.383,0.1789999999999985,audio,0.03090255999999974
25.104,71.027,45.923,audio,7.92814672
25.104,30.253,5.149000000000001,audio,0.88892336
35.508,71.027,35.519,audio,6.13200016
35.508,46.531,11.022999999999996,audio,1.9030107199999993
51.351,71.027,19.676000000000002,audio,3.39686464
51.351,51.972,0.6210000000000022,audio,0.10720944000000038
57.755,71.027,13.271999999999998,audio,2.2912780799999997
57.755,62.939,5.1839999999999975,audio,0.8949657599999995
67.733,71.027,3.293999999999997,audio,0.5686761599999994

