Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.821,70.821,screen dark,10.7593529472
0,70.821,70.821,wifi running,0.15283171799999998
35.513,70.821,35.308,audio,6.095573119999999
35.513,35.698,0.18500000000000227,audio,0.03193840000000039
40.759,70.821,30.061999999999998,audio,5.18990368
40.759,46.583,5.823999999999998,audio,1.0054553599999996
62.716,70.821,8.104999999999997,audio,1.3992471999999994
62.716,68.456,5.740000000000002,audio,0.9909536000000003

