Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.204,131.204,screen dark,19.872892582400002
0,91.824,91.824,wifi radio,116.56000824
91.824,94.38900000000001,2.565000000000012,wifi running,0.005518597500000026
94.38900000000001,131.204,36.815,wifi radio,46.732408774999996
33.52,131.204,97.684,audio,16.81337008
33.52,37.124,3.603999999999999,audio,0.6203204799999998
58.434,131.204,72.77000000000001,audio,12.5251724
58.434,63.311,4.8770000000000024,audio,0.8394292400000004

