Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.175,131.175,screen dark,19.933143120000004
0,110.283,110.283,wifi radio,140.447054745
110.283,112.082,1.7989999999999924,wifi running,0.0038831414999999842
112.082,131.175,19.093000000000018,wifi radio,24.315221895000022
33.374,131.175,97.80100000000002,audio,16.888276680000004
33.374,37.591,4.216999999999999,audio,0.7281915599999997
58.71,131.175,72.465,audio,12.5132562
58.71,63.581,4.871000000000002,audio,0.8411242800000004

