Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.768,70.768,screen dark,26.0762388
0,70.768,70.768,wifi running,2.4542342400000003
9.432,12.76,3.3279999999999994,audio,0.5337945599999998
19.382,22.022,2.639999999999997,audio,0.42344279999999945
23.843,26.302,2.4589999999999996,audio,0.3944113049999999
26.462,36.423,9.961000000000002,audio,1.597694595
47.069,50.794,3.7249999999999943,audio,0.597471374999999
52.673,55.474,2.800999999999995,audio,0.4492663949999991
61.48,64.157,2.6769999999999996,audio,0.4293774149999999

