Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.555,70.555,screen dark,25.997753625
0,70.555,70.555,wifi running,2.4468474000000002
8.721,12.462,3.7409999999999997,audio,0.6000376949999999
19.107,21.584,2.4770000000000003,audio,0.397298415
23.385,25.984,2.599,audio,0.416866605
26.144,36.025,9.881,audio,1.584862995
46.695,50.369,3.6739999999999995,audio,0.5892912299999998
52.248,55.049,2.801000000000002,audio,0.44926639500000026
61.02,63.731,2.7109999999999985,audio,0.4348308449999997

