Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.69800000000001,70.69800000000001,screen dark,26.050445550000003
0,70.69800000000001,70.69800000000001,wifi running,2.4518066400000005
9.193,11.988,2.795,audio,0.44830402499999994
19.203,21.682,2.478999999999999,audio,0.3976192049999998
23.522,26.042,2.520000000000003,audio,0.4041954000000005
26.176,36.043,9.867,audio,1.582617465
46.772,50.497,3.7250000000000014,audio,0.5974713750000001
52.345,55.177,2.8320000000000007,audio,0.4542386400000001
61.173,63.813,2.6400000000000006,audio,0.42344280000000006

