Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.553,70.553,screen dark,25.997016674999998
0,70.553,70.553,wifi running,2.44677804
2.882,6.721,3.839,audio,0.615756405
8.721,12.241,3.5199999999999996,audio,0.5645903999999998
14.29,17.121,2.8309999999999995,audio,0.4540782449999999
18.96,21.481,2.521000000000001,audio,0.4043557950000001
23.281,25.801,2.5199999999999996,audio,0.40419539999999987
26.338,33.481,7.143000000000001,audio,1.145701485
33.76,35.921,2.1610000000000014,audio,0.34661359500000016
46.618,50.329,3.7109999999999985,audio,0.5952258449999996
52.139,54.969,2.8299999999999983,audio,0.4539178499999997
60.99,63.675,2.684999999999995,audio,0.43066057499999916

