Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.673,70.673,screen dark,26.041233675
0,70.673,70.673,wifi running,2.45093964
1.596,6.996,5.4,audio,0.8661329999999999
8.451,12.515,4.064,audio,0.65184528
14.478,17.395,2.917,audio,0.4678722149999999
19.235,21.755,2.5199999999999996,audio,0.40419539999999987
23.57,26.035,2.465,audio,0.3953736749999999
26.571,33.675,7.103999999999996,audio,1.1394460799999993
33.919,36.196,2.277000000000001,audio,0.3652194150000001
46.916,50.675,3.7590000000000003,audio,0.602924805
52.442,55.353,2.9110000000000014,audio,0.46690984500000016
61.336,64.046,2.710000000000008,audio,0.4346704500000012

