Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.541,70.541,screen dark,25.992594975
0,70.541,70.541,wifi running,2.44636188
8.982,12.266,3.2840000000000007,audio,0.52673718
18.918,21.475,2.557000000000002,audio,0.4101300150000003
23.355,25.795,2.4400000000000013,audio,0.39136380000000015
26.37,35.837,9.467000000000002,audio,1.5184594650000003
46.526,50.199,3.6729999999999947,audio,0.5891308349999991
51.998,54.879,2.8810000000000002,audio,0.462097995
60.91,63.588,2.6780000000000044,audio,0.42953781000000063

