Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,69.779,69.779,screen dark,25.711817025
0,69.779,69.779,wifi running,2.4199357200000002
2.8609999999999998,6.818,3.957,audio,0.6346830149999999
14.485,17.188,2.7029999999999994,audio,0.43354768499999985
19.029,21.548000000000002,2.519000000000002,audio,0.4040350050000003
23.308,25.869,2.561,audio,0.41077159499999993
26.028,35.949,9.921,audio,1.5912787949999998
46.608,50.449,3.841000000000001,audio,0.6160771950000001
52.29,55.129,2.8389999999999986,audio,0.4553614049999997
61.1,63.775999999999996,2.675999999999995,audio,0.4292170199999991

