Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.563,70.563,screen dark,26.000701425
0,70.563,70.563,wifi running,2.4471248400000003
8.977,12.213,3.235999999999999,audio,0.5190382199999998
18.831,20.592,1.7609999999999992,audio,0.28245559499999984
23.259,25.819,2.5599999999999987,audio,0.41061119999999973
26.378,35.86,9.482,audio,1.5208653899999998
46.773,50.412,3.638999999999996,audio,0.5836774049999992
52.223,55.092,2.8689999999999998,audio,0.4601732549999999
61.078,63.794,2.715999999999994,audio,0.435632819999999

