Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.67,70.67,screen dark,26.04012825
0,70.67,70.67,wifi running,2.4508356000000004
3.152,7.06,3.9079999999999995,audio,0.6268236599999999
9.059,12.5,3.4410000000000007,audio,0.5519191950000001
14.552,17.34,2.7880000000000003,audio,0.44718125999999997
19.184,21.699,2.5150000000000006,audio,0.403393425
23.463,26.061,2.597999999999999,audio,0.4167062099999998
26.18,36.181,10.000999999999998,audio,1.6041103949999995
46.804,50.647,3.8429999999999964,audio,0.6163979849999993
52.455,55.287,2.8320000000000007,audio,0.4542386400000001
61.309,63.942,2.6330000000000027,audio,0.42232003500000037

