Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.374,131.374,screen dark,19.8986417344
0,23.678,23.678,wifi running,0.050943217000000006
23.678,27.834,4.155999999999999,wifi scan,0.7868637919999997
27.834,29.019,1.1849999999999987,wifi running,0.0025495274999999974
29.019,33.267,4.248000000000005,wifi scan,0.8042823360000008
33.267,55.705,22.437999999999995,wifi running,0.04827535699999999
55.705,60.292,4.587000000000003,wifi scan,0.8684658840000005
60.292,61.794,1.5019999999999953,wifi running,0.0032315529999999903
61.794,65.715,3.9210000000000065,wifi scan,0.7423707720000011
65.715,131.374,65.65899999999999,wifi running,0.1412653385
24.906,131.374,106.46799999999999,audio,18.325272159999997
24.906,39.459,14.553000000000004,audio,2.5048623600000006
57.626,131.374,73.74799999999999,audio,12.693505759999997
57.626,87.709,30.083000000000006,audio,5.177885960000001

