Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.433,131.433,screen dark,19.9723483872
0,1.486,1.486,wifi running,0.0032075310000000004
1.486,7.245,5.759,wifi scan,1.093910532
7.245,28.942,21.697,wifi running,0.046832974500000006
28.942,32.763,3.820999999999998,wifi scan,0.7257913079999996
32.763,39.244,6.481000000000002,wifi running,0.013989238500000006
39.244,42.981,3.737000000000002,wifi scan,0.7098356760000004
42.981,45.347,2.3659999999999997,wifi running,0.005107011
45.347,49.658,4.311,wifi scan,0.818865828
49.658,131.433,81.77499999999999,wifi running,0.1765113375

