Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.416,131.416,screen dark,19.9050032896
0,1.268,1.268,wifi running,0.0027281020000000005
1.268,7.24,5.972,wifi scan,1.1306907039999998
7.24,23.001,15.761000000000001,wifi running,0.03390979150000001
23.001,27.906,4.904999999999998,wifi scan,0.9286734599999994
27.906,28.655,0.7490000000000023,wifi running,0.0016114735000000051
28.655,32.568,3.9129999999999967,wifi scan,0.7408561159999992
32.568,39.552,6.984000000000002,wifi running,0.015026076000000005
39.552,44.123,4.570999999999998,wifi scan,0.8654365719999995
44.123,55.819,11.696000000000005,wifi running,0.025163944000000014
55.819,60.925,5.1059999999999945,wifi scan,0.9667291919999988
60.925,131.416,70.491,wifi running,0.15166138650000002
57.784,131.416,73.632,audio,12.67353984
57.784,87.09100000000001,29.30700000000001,audio,5.044320840000001

