Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.281,131.281,screen dark,19.884555433600003
0,22.671,22.671,wifi running,0.0487766565
22.671,28.152,5.481000000000002,wifi scan,1.0377286920000002
28.152,55.772,27.619999999999997,wifi running,0.05942443
55.772,60.059,4.286999999999999,wifi scan,0.8116662839999997
60.059,131.281,71.22200000000001,wifi running,0.15323413300000002
24.926,131.281,106.355,audio,18.3058226
24.926,39.183,14.257000000000001,audio,2.4539148400000004
57.359,131.281,73.922,audio,12.72345464
57.359,87.441,30.082,audio,5.17771384

