Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.075,131.075,screen dark,19.85335352
0,1.492,1.492,wifi running,0.003210038
1.492,7.014,5.522,wifi scan,1.0454913039999998
7.014,28.982,21.968,wifi running,0.047264152000000004
28.982,32.25,3.2680000000000007,wifi scan,0.618736976
32.25,34.689,2.439,wifi running,0.0052475085
34.689,38.856,4.167000000000002,wifi scan,0.7889464440000001
38.856,39.905,1.0489999999999995,wifi running,0.002256923499999999
39.905,44.695,4.789999999999999,wifi scan,0.9069002799999997
44.695,61.063,16.368000000000002,wifi running,0.03521575200000001
61.063,66.294,5.2309999999999945,wifi scan,0.9903956919999988
66.294,67.358,1.0640000000000072,wifi running,0.0022891960000000155
67.358,71.311,3.953000000000003,wifi scan,0.7484293960000005
71.311,131.075,59.76399999999998,wifi running,0.12858224599999998

