Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,130.922,130.922,screen dark,19.8301792832
0,1.903,1.903,wifi running,0.004094304500000001
1.903,7.075,5.172000000000001,wifi scan,0.979225104
7.075,22.918,15.843,wifi running,0.0340862145
22.918,28.071,5.153000000000002,wifi scan,0.9756277960000003
28.071,39.234,11.163,wifi running,0.024017194500000002
39.234,44.261,5.027000000000001,wifi scan,0.9517719640000001
44.261,44.882,0.6209999999999951,wifi running,0.0013360814999999896
44.882,49.378,4.496000000000002,wifi scan,0.8512366720000003
49.378,55.284,5.905999999999999,wifi running,0.012706758999999998
55.284,60.442,5.158000000000001,wifi scan,0.9765744560000001
60.442,130.922,70.47999999999999,wifi running,0.15163772
24.82,130.922,106.102,audio,18.26227624
24.82,39.234,14.414000000000001,audio,2.4809376800000003
57.542,130.922,73.38,audio,12.630165599999998
57.542,87.614,30.072000000000003,audio,5.1759926400000005

